NAME,median_household_income,state,county,tract
Census Tract 1011; Milwaukee County; Wisconsin,51591.0,55,079,101100
Census Tract 1012; Milwaukee County; Wisconsin,79000.0,55,079,101200
Census Tract 1013; Milwaukee County; Wisconsin,81144.0,55,079,101300
Census Tract 1014; Milwaukee County; Wisconsin,74271.0,55,079,101400
Census Tract 1015; Milwaukee County; Wisconsin,66969.0,55,079,101500
Census Tract 1016; Milwaukee County; Wisconsin,73289.0,55,079,101600
Census Tract 1017; Milwaukee County; Wisconsin,74352.0,55,079,101700
Census Tract 1018; Milwaukee County; Wisconsin,60250.0,55,079,101800
Census Tract 1101; Milwaukee County; Wisconsin,49128.0,55,079,110100
Census Tract 1201.01; Milwaukee County; Wisconsin,68125.0,55,079,120101
Census Tract 1201.02; Milwaukee County; Wisconsin,92901.0,55,079,120102
Census Tract 1202.01; Milwaukee County; Wisconsin,55503.0,55,079,120201
Census Tract 1202.02; Milwaukee County; Wisconsin,67253.0,55,079,120202
Census Tract 1202.03; Milwaukee County; Wisconsin,67167.0,55,079,120203
Census Tract 1203; Milwaukee County; Wisconsin,72208.0,55,079,120300
Census Tract 1204; Milwaukee County; Wisconsin,65389.0,55,079,120400
Census Tract 1205.01; Milwaukee County; Wisconsin,82150.0,55,079,120501
Census Tract 1205.02; Milwaukee County; Wisconsin,78037.0,55,079,120502
Census Tract 1301; Milwaukee County; Wisconsin,84961.0,55,079,130100
Census Tract 1302; Milwaukee County; Wisconsin,93203.0,55,079,130200
Census Tract 1401; Milwaukee County; Wisconsin,130278.0,55,079,140100
Census Tract 1402.01; Milwaukee County; Wisconsin,74601.0,55,079,140201
Census Tract 1402.02; Milwaukee County; Wisconsin,99596.0,55,079,140202
Census Tract 1501; Milwaukee County; Wisconsin,92083.0,55,079,150100
Census Tract 1503.01; Milwaukee County; Wisconsin,109769.0,55,079,150301
Census Tract 1503.03; Milwaukee County; Wisconsin,99526.0,55,079,150303
Census Tract 1503.04; Milwaukee County; Wisconsin,96477.0,55,079,150304
Census Tract 1601.01; Milwaukee County; Wisconsin,89785.0,55,079,160101
Census Tract 1601.02; Milwaukee County; Wisconsin,50667.0,55,079,160102
Census Tract 1602.02; Milwaukee County; Wisconsin,103447.0,55,079,160202
Census Tract 1602.03; Milwaukee County; Wisconsin,94145.0,55,079,160203
Census Tract 1602.05; Milwaukee County; Wisconsin,80281.0,55,079,160205
Census Tract 1602.06; Milwaukee County; Wisconsin,91324.0,55,079,160206
Census Tract 1603.01; Milwaukee County; Wisconsin,131538.0,55,079,160301
Census Tract 1603.02; Milwaukee County; Wisconsin,127005.0,55,079,160302
Census Tract 1701; Milwaukee County; Wisconsin,70385.0,55,079,170100
Census Tract 1702; Milwaukee County; Wisconsin,74211.0,55,079,170200
Census Tract 1703; Milwaukee County; Wisconsin,90954.0,55,079,170300
Census Tract 1704; Milwaukee County; Wisconsin,97094.0,55,079,170400
Census Tract 1705; Milwaukee County; Wisconsin,65450.0,55,079,170500
Census Tract 1706; Milwaukee County; Wisconsin,61164.0,55,079,170600
Census Tract 1707; Milwaukee County; Wisconsin,69688.0,55,079,170700
Census Tract 1801; Milwaukee County; Wisconsin,71100.0,55,079,180100
Census Tract 1802; Milwaukee County; Wisconsin,65953.0,55,079,180200
Census Tract 1803; Milwaukee County; Wisconsin,58005.0,55,079,180300
Census Tract 1804; Milwaukee County; Wisconsin,55639.0,55,079,180400
Census Tract 1805; Milwaukee County; Wisconsin,73758.0,55,079,180500
Census Tract 1851; Milwaukee County; Wisconsin,53284.0,55,079,185100
Census Tract 1852; Milwaukee County; Wisconsin,65466.0,55,079,185200
Census Tract 1853; Milwaukee County; Wisconsin,73138.0,55,079,185300
Census Tract 1854; Milwaukee County; Wisconsin,37321.0,55,079,185400
Census Tract 1855; Milwaukee County; Wisconsin,38438.0,55,079,185500
Census Tract 1856; Milwaukee County; Wisconsin,41358.0,55,079,185600
Census Tract 1857; Milwaukee County; Wisconsin,26691.0,55,079,185700
Census Tract 1858; Milwaukee County; Wisconsin,50847.0,55,079,185800
Census Tract 1859; Milwaukee County; Wisconsin,61304.0,55,079,185900
Census Tract 1860; Milwaukee County; Wisconsin,19559.0,55,079,186000
Census Tract 1861; Milwaukee County; Wisconsin,18670.0,55,079,186100
Census Tract 1862; Milwaukee County; Wisconsin,21250.0,55,079,186200
Census Tract 1863; Milwaukee County; Wisconsin,76622.0,55,079,186300
Census Tract 1864; Milwaukee County; Wisconsin,12130.0,55,079,186400
Census Tract 1865; Milwaukee County; Wisconsin,52031.0,55,079,186500
Census Tract 1866; Milwaukee County; Wisconsin,62000.0,55,079,186600
Census Tract 1868; Milwaukee County; Wisconsin,31830.0,55,079,186800
Census Tract 1869; Milwaukee County; Wisconsin,86711.0,55,079,186900
Census Tract 1870; Milwaukee County; Wisconsin,65900.0,55,079,187000
Census Tract 1872; Milwaukee County; Wisconsin,126033.0,55,079,187200
Census Tract 1873; Milwaukee County; Wisconsin,132411.0,55,079,187300
Census Tract 1874; Milwaukee County; Wisconsin,136324.0,55,079,187400
Census Tract 9800; Milwaukee County; Wisconsin,,55,079,980000
Census Tract 9900; Milwaukee County; Wisconsin,,55,079,990000
