NAME,total_population,hispanic_or_latino_population,non_hispanic_white_population,percent_non_hispanic_white,state,county,tract
Census Tract 210; Milwaukee County; Wisconsin,2350.0,28.0,268.0,11.4,55,079,021000
Census Tract 211; Milwaukee County; Wisconsin,1329.0,13.0,41.0,3.1,55,079,021100
Census Tract 212; Milwaukee County; Wisconsin,1895.0,48.0,331.0,17.5,55,079,021200
Census Tract 213; Milwaukee County; Wisconsin,1806.0,9.0,147.0,8.1,55,079,021300
Census Tract 214; Milwaukee County; Wisconsin,3900.0,17.0,277.0,7.1,55,079,021400
Census Tract 215; Milwaukee County; Wisconsin,3245.0,0.0,522.0,16.1,55,079,021500
Census Tract 216; Milwaukee County; Wisconsin,4108.0,0.0,291.0,7.1,55,079,021600
Census Tract 217; Milwaukee County; Wisconsin,5845.0,142.0,585.0,10.0,55,079,021700
Census Tract 218; Milwaukee County; Wisconsin,2073.0,4.0,97.0,4.7,55,079,021800
Census Tract 301; Milwaukee County; Wisconsin,4214.0,0.0,128.0,3.0,55,079,030100
Census Tract 351; Milwaukee County; Wisconsin,2136.0,20.0,26.0,1.2,55,079,035100
Census Tract 352; Milwaukee County; Wisconsin,4547.0,10.0,173.0,3.8,55,079,035200
Census Tract 401; Milwaukee County; Wisconsin,1632.0,16.0,82.0,5.0,55,079,040100
Census Tract 501.01; Milwaukee County; Wisconsin,5644.0,0.0,137.0,2.4,55,079,050101
Census Tract 501.03; Milwaukee County; Wisconsin,4086.0,0.0,89.0,2.2,55,079,050103
Census Tract 501.04; Milwaukee County; Wisconsin,2834.0,11.0,231.0,8.2,55,079,050104
Census Tract 601.01; Milwaukee County; Wisconsin,4189.0,34.0,307.0,7.3,55,079,060101
Census Tract 601.02; Milwaukee County; Wisconsin,3289.0,1.0,24.0,0.7,55,079,060102
Census Tract 602; Milwaukee County; Wisconsin,6178.0,0.0,168.0,2.7,55,079,060200
Census Tract 701; Milwaukee County; Wisconsin,4464.0,24.0,49.0,1.1,55,079,070100
Census Tract 702; Milwaukee County; Wisconsin,4967.0,30.0,198.0,4.0,55,079,070200
Census Tract 703; Milwaukee County; Wisconsin,5234.0,80.0,59.0,1.1,55,079,070300
Census Tract 801; Milwaukee County; Wisconsin,2693.0,40.0,84.0,3.1,55,079,080100
Census Tract 802; Milwaukee County; Wisconsin,3909.0,60.0,197.0,5.0,55,079,080200
Census Tract 803; Milwaukee County; Wisconsin,3663.0,8.0,94.0,2.6,55,079,080300
Census Tract 804; Milwaukee County; Wisconsin,3362.0,25.0,0.0,0.0,55,079,080400
Census Tract 901; Milwaukee County; Wisconsin,4137.0,0.0,95.0,2.3,55,079,090100
Census Tract 902; Milwaukee County; Wisconsin,2444.0,3.0,57.0,2.3,55,079,090200
Census Tract 903; Milwaukee County; Wisconsin,3282.0,6.0,56.0,1.7,55,079,090300
Census Tract 906; Milwaukee County; Wisconsin,4211.0,80.0,55.0,1.3,55,079,090600
Census Tract 907; Milwaukee County; Wisconsin,3319.0,16.0,0.0,0.0,55,079,090700
Census Tract 908; Milwaukee County; Wisconsin,2143.0,18.0,88.0,4.1,55,079,090800
Census Tract 909; Milwaukee County; Wisconsin,4081.0,120.0,57.0,1.4,55,079,090900
Census Tract 910; Milwaukee County; Wisconsin,4628.0,28.0,86.0,1.9,55,079,091000
Census Tract 911; Milwaukee County; Wisconsin,4026.0,24.0,56.0,1.4,55,079,091100
Census Tract 912; Milwaukee County; Wisconsin,5575.0,43.0,133.0,2.4,55,079,091200
Census Tract 913; Milwaukee County; Wisconsin,3550.0,1.0,73.0,2.1,55,079,091300
Census Tract 914; Milwaukee County; Wisconsin,2314.0,0.0,43.0,1.9,55,079,091400
Census Tract 1001; Milwaukee County; Wisconsin,4019.0,52.0,910.0,22.6,55,079,100100
Census Tract 1002; Milwaukee County; Wisconsin,4654.0,7.0,560.0,12.0,55,079,100200
Census Tract 1003; Milwaukee County; Wisconsin,2366.0,26.0,177.0,7.5,55,079,100300
Census Tract 1004; Milwaukee County; Wisconsin,2702.0,0.0,107.0,4.0,55,079,100400
Census Tract 1005; Milwaukee County; Wisconsin,3428.0,127.0,42.0,1.2,55,079,100500
Census Tract 1006; Milwaukee County; Wisconsin,1761.0,27.0,244.0,13.9,55,079,100600
Census Tract 1007; Milwaukee County; Wisconsin,2762.0,36.0,165.0,6.0,55,079,100700
Census Tract 1008; Milwaukee County; Wisconsin,2967.0,15.0,0.0,0.0,55,079,100800
Census Tract 1009; Milwaukee County; Wisconsin,3608.0,71.0,97.0,2.7,55,079,100900
Census Tract 1010; Milwaukee County; Wisconsin,4800.0,24.0,13.0,0.3,55,079,101000
Census Tract 1011; Milwaukee County; Wisconsin,1651.0,12.0,90.0,5.5,55,079,101100
Census Tract 1012; Milwaukee County; Wisconsin,3012.0,104.0,145.0,4.8,55,079,101200
Census Tract 1013; Milwaukee County; Wisconsin,3007.0,10.0,215.0,7.1,55,079,101300
Census Tract 1014; Milwaukee County; Wisconsin,3913.0,15.0,260.0,6.6,55,079,101400
Census Tract 1015; Milwaukee County; Wisconsin,4429.0,0.0,298.0,6.7,55,079,101500
Census Tract 1016; Milwaukee County; Wisconsin,4480.0,1.0,507.0,11.3,55,079,101600
Census Tract 1017; Milwaukee County; Wisconsin,3273.0,309.0,509.0,15.6,55,079,101700
Census Tract 1018; Milwaukee County; Wisconsin,2780.0,90.0,110.0,4.0,55,079,101800
Census Tract 1101; Milwaukee County; Wisconsin,4038.0,98.0,646.0,16.0,55,079,110100
Census Tract 1201.01; Milwaukee County; Wisconsin,4333.0,15.0,30.0,0.7,55,079,120101
Census Tract 1201.02; Milwaukee County; Wisconsin,3808.0,5.0,115.0,3.0,55,079,120102
Census Tract 1202.01; Milwaukee County; Wisconsin,3629.0,73.0,142.0,3.9,55,079,120201
Census Tract 1202.02; Milwaukee County; Wisconsin,3255.0,0.0,570.0,17.5,55,079,120202
Census Tract 1202.03; Milwaukee County; Wisconsin,4170.0,4.0,562.0,13.5,55,079,120203
Census Tract 1203; Milwaukee County; Wisconsin,2199.0,129.0,267.0,12.1,55,079,120300
Census Tract 1204; Milwaukee County; Wisconsin,6274.0,69.0,621.0,9.9,55,079,120400
Census Tract 1205.01; Milwaukee County; Wisconsin,3806.0,0.0,343.0,9.0,55,079,120501
Census Tract 1205.02; Milwaukee County; Wisconsin,5564.0,0.0,568.0,10.2,55,079,120502
Census Tract 1301; Milwaukee County; Wisconsin,4905.0,0.0,233.0,4.8,55,079,130100
Census Tract 1302; Milwaukee County; Wisconsin,2784.0,14.0,106.0,3.8,55,079,130200
Census Tract 1401; Milwaukee County; Wisconsin,3187.0,32.0,203.0,6.4,55,079,140100
Census Tract 1402.01; Milwaukee County; Wisconsin,5641.0,17.0,171.0,3.0,55,079,140201
Census Tract 1402.02; Milwaukee County; Wisconsin,5766.0,114.0,227.0,3.9,55,079,140202
Census Tract 1501; Milwaukee County; Wisconsin,9139.0,32.0,391.0,4.3,55,079,150100
Census Tract 1503.01; Milwaukee County; Wisconsin,5943.0,11.0,288.0,4.8,55,079,150301
Census Tract 1503.03; Milwaukee County; Wisconsin,5056.0,53.0,19.0,0.4,55,079,150303
Census Tract 1503.04; Milwaukee County; Wisconsin,3905.0,30.0,217.0,5.6,55,079,150304
Census Tract 1601.01; Milwaukee County; Wisconsin,4744.0,8.0,500.0,10.5,55,079,160101
Census Tract 1601.02; Milwaukee County; Wisconsin,2442.0,6.0,91.0,3.7,55,079,160102
Census Tract 1602.02; Milwaukee County; Wisconsin,7337.0,74.0,439.0,6.0,55,079,160202
Census Tract 1602.03; Milwaukee County; Wisconsin,7637.0,43.0,380.0,5.0,55,079,160203
Census Tract 1602.05; Milwaukee County; Wisconsin,3106.0,24.0,220.0,7.1,55,079,160205
Census Tract 1602.06; Milwaukee County; Wisconsin,1925.0,6.0,23.0,1.2,55,079,160206
Census Tract 1603.01; Milwaukee County; Wisconsin,5198.0,12.0,238.0,4.6,55,079,160301
Census Tract 1603.02; Milwaukee County; Wisconsin,4936.0,60.0,580.0,11.8,55,079,160302
Census Tract 1701; Milwaukee County; Wisconsin,2533.0,22.0,136.0,5.4,55,079,170100
Census Tract 1702; Milwaukee County; Wisconsin,3687.0,24.0,204.0,5.5,55,079,170200
Census Tract 1703; Milwaukee County; Wisconsin,2570.0,69.0,238.0,9.3,55,079,170300
